,,,,,
,,,,,
,ID,Centro de Reciclaje,Ubicación,Teléfono,Materiales que Aceptan
,135,Reciclaje Profesional de Residuos,"Cairo 259, Recreo, Azcapotzalco",5561 9197,"Metales, papel, vidrio, plásticos (Industrial)"
,136,Comercializadora de Acumuladores / Gonhermex,"Imprenta y Hortelano, Venustiano Carranza / Central Abastos",5789 0849,Acumuladores usados
,137,El Mundo de las Baterías,"Centeotl 342, Industrial San Antonio",5347 1399,Acumuladores y desperdicios
,138,"Ponte las Pilas, A.C.",Recolección a domicilio,No disponible,"Baterías, pilas, Níquel Cadmio"
,139,Programa Ponte Pilas con tu Ciudad (SEDEMA),400 columnas en parabuses de la CDMX,No disponible,Baterías y pilas diversas
,140,Asociación Nac. Fabricantes de Pinturas (ANAFAPYT),"Gabriel Mancera 309, Del Valle, Benito Juárez",5682 7794,Pintura (residuos)
,141,Super Capturador,"Avena 212, Granjas México, Iztacalco",5598 8320,Pinturas y solventes
,142,Ambientum,"Moctezuma 39, Guerrero, Cuauhtémoc",5772 6510,"Residuos orgánicos, residuos sanitarios"
,143,Agroreyvi,"Juan Sarabia 67, Nueva Santa María, Azcapotzalco",2974 0460,Jardinería y poda
,144,Grupo Diquima,"Calle 12 No. 34, Tlalnepantla Centro",5362 9131,Toallas sanitarias y tampones
,145,Industrial Vidriera Naucalpan,"Av. Naucalpan 180 A, La Cañada, Naucalpan",5358 0096,Botellas de vidrio
,146,Vitroplano,"Ex Hacienda de Santa Cruz, Tlalnepantla",5227 6000,Botellas de vidrio
,147,Kitcel / Dart México,"Huerto Roma Verde, Col. Roma / Atlacomulco, Morelos",01800 3278 377,Unicel limpio
,148,Tecnologías Rennueva,"Mimosas 63, Santa María Insurgentes, Cuauhtémoc",1648 1951,"Unicel, vasos, charolas"
,149,Servicios Especializados de Ingeniería,"Av. Chapultepec 153, Juárez, Cuauhtémoc",5703 2622,Muebles usados
,150,Proactiva Medio Ambiente,"Tomás Alba Edison 176, San Rafael, Cuauhtémoc",5722 7749,Múltiples materiales reciclables
